73,6,25,86,22,49,66,38,55,6,0,14,92,5,47,89,69,72,70,21,7,46,9,54,20,89,25,32,64,97,59,37,55,84,75,29,33,93,67,40,99,20,55,92,25,2
33,47,26,3,68,33,2,30,39,74,19,17,7,35,14,66,72,22,2,99,51,88,92,71,28,91,91,35,35,68,38,68,15,64,72,36,50,26,66,41,0,37,58,7,72,25
25,44,47,28,43,50,16,35,21,96,78,12,32,14,81,22,34,48,38,58,84,40,84,2,82,85,39,92,44,11,17,70,7,16,98,2,67,66,89,40,14,68,53,46,34,86
20,68,86,59,27,23,51,63,25,33,48,65,26,93,76,95,63,84,64,13,38,31,79,28,71,45,96,76,44,30,14,64,50,53,75,29,76,27,93,53,12,93,18,90,86,47
86,1,83,50,14,21,33,45,49,56,43,45,85,87,27,51,51,30,4,79,11,32,58,4,86,70,50,4,61,36,3,99,90,86,1,56,8,86,54,9,94,97,7,79,84,86
83,87,16,39,18,28,72,76,84,58,47,34,14,60,23,70,11,65,56,64,21,16,2,27,26,96,76,85,28,12,71,11,0,40,2,70,20,74,47,4,84,46,91,51,6,66
21,69,31,29,33,4,46,35,32,24,83,8,9,11,21,32,74,73,72,77,43,92,3,42,97,88,88,40,91,94,6,12,15,89,41,48,93,39,35,77,15,19,86,76,82,59
9,57,84,81,86,27,26,89,22,75,77,10,15,68,57,73,32,72,62,26,73,7,17,8,85,33,79,23,61,14,82,70,71,66,4,9,45,30,98,67,5,28,78,72,48,87
45,81,59,59,59,84,66,76,45,51,9,24,74,71,38,56,93,61,74,49,70,72,79,21,91,36,49,21,8,97,8,5,30,68,64,89,52,31,66,97,82,27,74,9,50,64
17,96,78,92,45,0,16,25,21,7,13,22,29,74,20,37,79,2,57,96,92,62,27,58,59,61,37,85,70,88,2,40,84,80,32,29,80,0,6,54,7,72,76,36,46,48
74,77,51,31,73,95,93,0,5,5,14,42,42,36,82,44,76,18,24,60,0,57,60,6,11,68,30,39,56,76,88,30,54,91,14,27,38,59,80,43,16,46,85,59,82,20
3,11,38,80,71,38,89,84,97,0,4,27,91,60,4,31,91,10,74,57,89,12,16,69,55,85,15,93,44,50,13,99,61,3,31,32,42,20,68,91,72,72,18,16,33,74
47,76,36,22,33,26,34,1,95,42,86,63,87,82,13,0,34,74,55,17,58,49,38,27,40,62,51,59,78,84,85,78,60,22,0,45,48,86,47,95,80,85,58,67,20,23
19,6,97,75,23,8,24,13,87,65,76,38,76,6,23,13,84,35,35,36,81,35,75,80,31,55,17,41,23,37,65,94,95,62,69,19,22,46,32,9,63,60,48,39,67,23
52,3,58,40,40,39,75,67,19,6,22,37,48,97,26,65,44,22,27,13,93,2,11,25,11,74,38,11,13,57,34,18,12,93,10,4,84,85,71,56,44,46,93,44,43,71
9,39,45,88,53,38,90,64,16,54,91,54,65,4,63,0,74,75,45,84,80,29,22,51,85,66,97,30,62,93,54,71,32,99,11,37,38,2,54,6,8,45,12,73,1,75
25,28,2,70,64,82,0,86,86,37,4,35,68,66,80,22,89,65,73,1,54,63,55,8,69,63,5,81,88,59,8,14,39,63,84,3,45,36,90,83,74,46,71,94,13,51
68,54,68,93,55,23,57,62,83,78,77,41,12,66,0,20,80,39,83,16,94,81,5,84,16,79,31,87,25,96,91,45,50,59,38,58,82,95,72,66,74,50,7,86,68,59
58,0,50,94,16,44,27,73,81,43,52,64,31,29,12,22,74,62,81,13,72,16,8,45,34,34,47,93,72,15,52,31,15,54,77,83,98,4,57,31,47,61,95,30,91,59
4,17,22,38,30,46,54,91,43,40,77,90,33,50,5,37,33,72,91,10,8,41,66,17,25,65,30,72,96,73,32,0,91,6,90,73,52,96,64,96,36,94,86,69,44,44
6,29,68,49,39,28,43,5,45,68,70,28,92,18,1,24,71,92,30,61,18,83,58,34,31,94,28,17,16,72,13,74,53,34,76,92,62,71,49,60,91,72,88,83,42,89
8,13,34,38,27,4,73,37,38,4,83,67,74,51,91,39,26,45,73,54,89,36,25,91,96,16,63,36,99,57,77,7,23,11,98,50,15,71,39,6,28,22,73,54,26,16
93,52,61,67,6,3,3,31,94,51,47,9,39,98,66,16,6,89,80,56,91,47,79,82,53,7,57,78,61,83,95,55,87,8,74,93,11,29,76,5,80,75,66,71,73,33
87,31,74,19,87,18,67,67,52,72,74,9,51,88,92,98,95,79,6,69,24,18,98,52,75,30,27,42,1,1,27,40,84,53,60,72,23,79,39,76,51,65,85,54,5,30
52,0,61,59,69,38,29,67,90,56,49,18,50,50,71,77,91,55,83,3,79,6,82,70,82,33,88,20,88,93,2,92,46,63,51,67,1,32,35,44,89,36,62,39,87,85
69,30,92,52,33,72,10,15,94,45,0,82,17,40,28,19,33,74,34,36,41,88,69,28,32,10,65,46,1,4,31,70,34,75,74,19,47,85,34,94,82,86,76,99,27,4
18,12,30,4,0,72,92,69,52,76,31,17,22,33,21,5,55,7,81,30,26,80,67,12,74,49,99,51,0,78,7,18,42,38,74,42,62,67,64,14,43,95,84,66,80,57
23,36,65,4,18,43,85,85,56,11,86,7,14,86,37,22,56,79,12,30,21,74,49,37,40,93,85,24,11,65,82,86,53,99,91,71,42,28,8,98,39,46,57,54,84,94
28,92,73,40,23,47,66,24,36,6,17,21,31,80,39,65,67,92,64,10,16,6,90,76,57,29,75,66,35,59,61,15,52,86,55,27,85,73,51,22,80,21,43,63,53,34
28,72,79,92,34,95,50,24,23,59,6,98,26,41,10,87,57,14,25,64,41,11,38,44,33,18,65,28,33,71,63,61,43,94,5,78,89,7,2,64,67,60,15,45,2,77
