54,66,34,59,81,42,73,1,38,71,13,58,99,22,84,55,61,90,80,71,23,3,0,20,0,42,52,12,4,7
59,58,25,94,17,58,36,90,60,26,14,73,37,65,48,21,20,9,63,0,32,86,4,33,58,56,27,10,68,31
69,28,41,46,74,58,5,10,1,65,89,67,90,26,32,38,99,5,0,62,57,32,48,61,17,7,69,97,69,38
28,39,18,70,85,92,80,42,54,33,7,43,0,50,21,85,88,20,90,40,34,47,25,83,61,94,42,30,91,63
20,20,54,38,42,92,30,22,34,85,8,94,80,8,44,2,45,84,22,87,25,57,35,2,92,48,96,86,30,40
49,51,12,56,89,54,48,72,28,82,57,88,76,37,97,20,39,94,5,14,82,82,23,69,36,15,17,84,53,99
24,54,50,36,10,92,42,58,64,23,41,21,11,69,10,60,90,2,55,47,16,89,81,39,58,17,6,75,1,11
74,78,65,77,66,76,69,61,34,33,36,27,6,99,97,16,60,39,70,67,86,86,8,67,77,66,36,35,93,37
46,19,67,12,96,34,40,17,95,74,50,31,2,8,30,51,25,42,90,47,61,76,34,69,95,63,35,31,51,80
20,97,0,88,61,96,74,1,14,69,28,16,52,82,25,82,33,2,77,23,49,90,51,35,60,46,99,47,29,2
28,49,99,28,89,13,76,63,66,90,84,94,59,36,76,84,71,9,38,0,84,39,90,35,75,50,81,26,50,62
28,78,64,79,58,53,44,34,69,11,77,5,57,36,42,34,72,65,95,10,65,32,49,7,67,76,58,1,2,60
63,82,38,27,14,96,33,58,30,54,69,7,59,27,95,1,13,67,18,60,29,35,92,31,43,12,7,53,13,62
13,28,96,51,56,10,99,41,69,81,95,90,89,54,69,36,8,82,4,26,95,33,14,87,64,57,51,24,10,64
38,23,93,34,26,1,45,25,94,66,6,89,56,47,95,26,84,3,60,40,82,55,73,48,95,90,5,46,66,67
63,4,90,8,90,68,61,35,93,55,1,51,44,10,51,91,88,35,47,48,75,81,56,0,29,51,42,34,49,60
1,64,64,43,72,55,11,33,42,56,40,96,59,36,58,10,28,46,97,75,94,24,56,50,25,85,53,19,71,55
80,24,19,96,67,44,3,30,29,46,86,70,94,45,58,52,8,86,98,5,13,44,30,21,47,7,58,0,78,29
7,58,53,79,7,72,75,10,2,4,8,40,26,2,86,85,6,46,23,4,51,37,1,33,10,48,92,69,0,71
50,8,81,56,87,88,28,62,51,83,18,59,23,45,14,61,82,72,7,57,29,11,94,30,44,57,78,37,26,78
60,28,86,41,84,25,82,65,39,33,48,58,44,23,55,10,85,89,83,44,46,12,55,93,42,0,50,20,89,28
50,49,56,37,42,41,14,24,58,54,9,58,64,54,81,19,16,18,60,99,63,6,63,18,99,5,70,1,77,11
29,28,12,86,17,55,79,83,79,89,37,89,47,53,95,80,24,11,99,84,11,14,43,26,84,42,32,7,96,61
18,25,41,31,63,10,86,94,94,17,35,83,58,82,37,53,15,13,17,14,98,80,80,41,6,64,35,38,23,31
52,42,9,45,25,24,56,63,71,2,80,6,85,91,89,74,44,56,88,61,70,38,41,2,79,48,18,66,38,42
50,42,84,59,88,61,35,96,24,6,98,56,13,35,47,54,62,44,10,2,57,32,40,51,86,71,99,4,89,89
46,39,84,82,50,72,43,86,68,19,92,18,76,57,53,75,63,15,19,25,69,77,9,9,80,95,32,31,0,22
20,46,13,56,29,64,28,24,50,48,44,94,18,72,4,72,47,67,39,19,93,9,48,54,70,28,50,55,59,50
29,31,48,42,88,77,6,68,54,8,69,98,3,87,70,7,11,69,26,3,40,71,64,88,26,86,16,76,41,27
78,22,59,26,65,99,4,23,67,58,32,88,8,87,76,30,94,39,51,72,42,92,44,6,80,22,93,49,98,86
0,0
29,29
end

