64,64,36,15,66,15,21,84,9,95,52,57,1,27,60,20,56,31,90,82,25,88,46,83,12,70,43,91,49,32,16,66,97,4,81,63,71,54
99,81,1,51,90,2,31,2,75,87,33,65,70,11,5,68,46,17,91,89,60,92,73,29,58,70,33,91,85,57,97,37,90,99,88,80,53,71
34,28,59,20,45,81,83,50,1,29,19,92,70,80,37,43,9,47,66,94,39,3,3,88,40,93,87,81,25,41,52,12,21,63,32,67,44,15
69,46,44,89,90,14,21,27,9,30,75,75,76,66,31,80,54,71,25,42,4,3,35,57,15,56,72,47,75,17,14,45,63,58,86,53,24,7
81,33,89,8,61,17,74,92,49,28,15,75,22,72,30,57,81,45,66,53,92,41,70,58,38,85,16,24,39,92,83,72,77,72,32,38,42,6
82,91,86,50,18,9,22,48,18,55,45,84,8,89,78,79,47,16,64,15,93,55,7,76,79,85,1,11,75,95,69,10,86,56,12,57,17,86
57,35,41,3,72,49,92,50,80,40,18,97,55,11,4,15,40,84,0,93,47,27,88,17,37,74,73,1,83,90,87,41,77,28,96,1,30,88
3,10,80,22,59,36,85,64,3,77,0,55,70,47,82,58,64,72,85,37,73,68,79,61,61,9,89,57,10,19,46,66,82,78,88,41,66,25
57,69,3,57,24,25,5,7,84,69,31,69,59,4,89,90,65,51,51,7,8,62,78,6,28,60,85,68,54,51,45,11,21,0,69,45,26,26
4,62,95,35,31,6,40,20,49,57,23,0,16,32,14,95,90,42,7,75,62,13,79,60,77,0,60,46,97,38,24,54,0,71,89,31,78,81
4,79,91,27,79,7,11,94,54,2,88,14,29,3,79,8,63,56,60,75,54,10,14,78,64,14,50,53,98,80,87,54,59,78,33,38,37,45
84,44,99,73,58,28,28,37,89,91,46,49,18,0,59,32,79,23,99,29,29,97,9,16,3,20,46,36,58,83,33,95,27,32,20,37,13,48
27,2,91,73,3,9,25,63,42,4,38,93,85,19,42,46,87,45,66,33,81,77,69,15,72,48,99,92,38,12,40,65,14,31,90,70,92,15
33,86,72,23,79,57,95,21,4,82,18,22,68,52,99,89,19,71,89,18,15,27,83,55,44,49,38,34,19,83,2,4,69,74,28,49,83,23
22,39,57,93,62,25,45,13,66,64,37,56,34,52,83,17,60,80,67,50,66,86,33,68,91,3,94,71,4,78,46,78,17,55,71,79,33,68
93,99,84,82,55,19,34,91,88,94,71,7,97,89,94,30,58,37,85,4,60,89,82,58,20,0,13,91,31,46,12,76,46,96,58,53,67,45
44,56,91,67,63,88,9,9,19,19,98,56,23,58,98,6,16,18,58,82,61,41,28,73,18,26,70,28,80,37,73,76,45,65,96,9,53,5
70,24,24,69,33,47,27,31,5,96,49,63,78,10,57,58,36,75,85,58,3,65,47,29,41,93,94,37,54,99,94,24,76,18,45,9,18,25
92,23,21,41,39,51,3,96,9,91,23,94,49,78,11,97,59,53,90,53,42,96,5,89,72,33,7,18,94,77,43,86,53,16,79,92,67,82
40,28,74,15,23,75,45,34,72,5,39,14,10,34,10,15,23,35,0,82,53,94,60,96,32,13,12,11,57,31,94,49,59,20,16,34,95,61
21,20,66,12,86,77,46,49,44,21,84,45,56,37,91,16,85,24,81,49,87,90,80,81,91,91,53,7,26,1,68,47,73,87,11,59,64,10
8,60,31,44,57,87,33,49,55,18,25,88,67,12,78,99,46,69,91,51,28,69,4,97,68,77,84,79,89,0,89,49,60,73,94,18,12,27
19,20,46,96,8,65,60,39,17,6,60,8,10,89,29,14,38,97,92,74,28,81,74,18,30,86,43,76,56,55,4,27,27,2,75,36,19,36
27,36,94,87,44,4,76,73,19,66,22,63,40,51,96,66,21,78,5,64,55,61,71,11,41,99,13,16,87,32,4,14,21,99,1,65,55,30
91,26,96,65,89,37,16,37,3,89,16,8,5,23,22,77,86,15,28,51,83,15,83,88,29,56,39,82,22,94,12,65,21,9,82,62,46,51
0,1,40,68,62,46,43,36,75,29,3,3,80,86,18,15,26,99,72,65,81,46,60,94,63,81,55,45,43,53,96,95,54,89,63,68,35,58
56,10,87,59,65,67,46,83,83,72,34,7,38,15,53,50,9,16,83,64,61,78,69,10,74,24,99,89,44,34,48,1,96,35,60,61,55,58
96,90,31,30,97,21,97,50,23,59,18,6,75,31,84,45,41,10,69,40,0,65,26,0,66,74,35,27,87,42,37,83,32,68,65,29,41,63
31,64,22,49,70,49,81,7,94,22,17,15,15,17,81,93,17,47,68,5,26,55,47,64,91,32,84,56,61,78,71,45,42,45,94,65,95,27
72,89,2,89,5,17,59,86,10,28,85,30,85,64,86,85,80,77,17,64,85,30,42,9,75,37,54,22,2,1,49,26,91,51,67,48,20,26
86,83,7,71,13,92,87,51,29,67,80,46,32,66,77,26,27,4,63,81,26,17,35,28,43,78,31,11,26,4,89,12,87,96,35,52,41,75
4,70,42,84,17,74,2,46,53,29,50,16,63,29,86,98,57,29,76,88,40,54,92,30,18,31,78,5,84,19,80,40,42,23,76,59,49,31
57,2,60,59,71,75,88,57,73,45,38,1,86,31,55,30,13,73,62,91,79,98,63,59,90,5,82,66,16,84,97,73,86,10,84,9,85,73
18,11,70,57,12,8,88,68,39,1,93,53,44,24,51,59,84,93,64,18,59,32,2,9,57,41,19,42,2,56,15,21,67,37,30,32,46,18
52,85,71,45,90,67,70,41,27,6,86,43,76,45,76,79,6,85,72,77,27,74,86,94,47,53,32,77,37,30,47,89,15,70,87,5,38,9
98,17,15,84,12,91,81,40,22,40,26,46,17,5,21,55,0,68,9,84,98,98,14,45,88,81,16,27,38,6,36,88,75,3,24,87,46,57
28,69,97,54,67,67,11,88,22,11,9,83,47,7,82,13,4,22,94,20,1,84,78,37,72,53,92,96,41,38,54,21,59,51,27,27,70,38
67,93,2,28,28,49,35,10,15,92,84,9,64,85,46,43,74,18,48,66,15,41,57,21,62,68,24,41,95,95,80,15,40,82,43,68,83,31
0,0
37,37
end

