31,98,23,67,60,39,53,6,82,27,24,31,46,91,24,3,64,87,23,89,28,71,36,60,86,76,42,81,96,78,64,79,76,39,47,36,79,52,94,61,31,19
44,77,62,69,32,27,8,56,68,88,27,4,49,65,32,43,46,80,73,11,60,50,50,59,38,29,11,33,43,94,4,39,24,18,60,56,97,68,64,65,9,43
69,58,60,1,53,59,34,27,22,46,29,24,5,19,54,68,4,49,62,60,40,86,79,1,95,76,69,11,42,30,7,63,40,67,17,94,78,51,73,0,97,2
25,2,73,31,22,78,80,36,38,20,23,17,21,70,46,43,33,40,25,40,3,66,60,20,12,38,23,85,39,20,39,16,74,12,47,96,90,27,85,81,99,60
50,73,30,96,68,15,36,93,56,92,11,68,64,23,58,88,8,49,8,99,65,35,64,12,83,54,91,68,87,43,28,38,16,10,34,36,26,23,81,34,15,93
2,79,16,60,67,77,62,28,76,27,63,40,40,98,47,31,67,34,74,95,24,42,58,59,30,84,34,12,18,49,57,72,80,73,84,0,2,46,80,31,74,95
23,66,93,22,97,60,57,24,8,81,18,66,92,49,2,26,13,72,27,70,44,60,95,28,60,50,27,40,81,53,87,4,19,80,27,68,93,36,44,53,69,63
71,14,64,73,92,29,45,20,51,41,80,98,21,92,48,48,84,29,1,71,86,72,3,65,41,96,53,85,49,74,0,72,88,64,45,81,93,42,53,96,83,85
95,57,77,43,5,61,25,59,84,63,31,87,28,24,36,33,10,37,7,10,10,96,27,7,29,72,2,34,69,37,19,64,94,48,7,52,61,32,11,45,95,94
84,75,19,20,8,29,58,68,91,20,64,18,27,45,91,29,79,12,67,50,76,61,98,83,65,59,68,76,4,15,23,40,43,42,61,3,23,19,71,66,39,87
85,18,32,28,48,63,40,67,13,68,80,63,3,46,22,71,74,78,39,97,19,82,39,32,37,14,51,9,81,42,96,18,12,81,98,12,44,90,79,10,58,12
25,13,10,48,85,84,78,76,82,49,10,73,81,47,40,84,56,73,78,53,91,91,86,41,3,82,31,35,44,41,47,70,54,57,70,91,93,48,19,75,98,29
1,79,77,93,16,85,66,94,90,57,85,76,50,89,59,33,76,3,26,23,73,32,32,43,24,25,44,43,53,94,25,6,25,54,99,41,39,65,36,30,74,21
58,24,62,69,9,38,73,35,13,98,67,45,94,43,23,90,87,28,84,64,34,9,18,85,51,57,2,87,39,76,60,98,52,23,19,61,61,92,48,75,43,15
72,89,59,47,79,98,75,15,62,61,24,32,46,27,89,48,66,81,76,27,31,80,50,50,93,63,95,41,90,90,9,15,79,68,62,10,18,90,25,80,51,1
12,98,81,53,98,47,86,27,74,17,7,76,20,1,92,15,94,82,5,3,49,36,23,12,98,41,2,75,73,5,28,37,3,9,91,54,57,77,81,83,47,40
60,67,93,52,34,40,86,91,43,36,27,67,0,25,60,54,52,34,59,80,71,15,90,14,21,99,44,54,82,91,94,42,10,40,46,44,80,85,35,75,73,14
42,73,91,55,27,43,89,38,23,60,53,65,27,26,64,71,80,47,62,75,41,72,67,40,68,47,25,3,22,98,69,17,23,60,72,2,55,13,40,78,25,46
96,52,72,60,23,53,7,37,80,1,61,47,41,29,46,66,84,20,16,53,89,39,65,13,41,20,26,81,51,4,79,47,56,52,7,32,57,67,69,89,68,31
36,9,60,34,27,97,54,43,50,44,82,68,57,23,88,36,56,91,40,36,38,96,40,98,28,97,65,50,38,33,81,26,94,93,60,21,90,66,64,93,10,98
61,20,21,1,8,29,93,48,65,31,96,57,29,77,6,46,27,44,31,60,70,25,53,30,98,44,49,14,89,11,12,50,31,85,3,39,15,96,39,32,80,36
42,61,13,48,8,92,93,91,52,15,17,5,98,67,1,47,34,90,58,46,92,42,84,96,33,51,44,73,35,24,9,77,86,74,26,46,66,71,89,18,86,58
23,36,26,77,83,60,67,94,58,12,36,42,8,69,45,52,42,81,29,3,58,67,77,36,65,95,7,54,13,46,13,89,82,39,66,18,51,85,12,9,49,0
4,57,69,49,62,64,30,91,19,41,10,49,77,75,44,37,29,10,35,42,99,69,33,17,87,84,54,51,46,4,51,50,13,73,51,75,37,34,18,56,75,28
5,4,3,2,41,85,12,76,27,11,98,13,80,85,97,86,89,95,90,40,45,56,13,97,83,2,31,2,59,58,82,16,62,38,18,4,23,30,32,2,93,82
15,25,68,65,64,57,60,6,49,6,62,15,55,46,17,38,0,76,96,82,45,10,20,15,66,43,98,51,46,43,33,61,21,1,78,85,10,39,91,12,97,54
27,52,0,44,42,0,73,90,34,70,0,55,85,67,50,83,18,96,79,51,10,0,5,88,85,67,79,76,79,76,82,58,28,34,3,22,86,28,12,21,98,13
76,35,80,78,71,98,75,50,1,37,50,6,77,87,26,57,15,5,33,98,16,14,32,19,36,19,99,49,92,49,62,20,84,94,98,55,44,25,57,45,62,7
4,92,46,30,49,62,87,34,60,3,48,44,74,37,15,73,38,7,22,52,27,59,46,26,14,42,51,24,87,66,83,43,58,30,73,59,92,13,93,4,16,94
