28,76,9,87,2,26,38,58,49,58,68,81,46,28,20,74,58,14,14,62,39,56,54,35,15,34,57,60,35,7,46,64,83,55
3,37,33,42,48,83,0,68,16,46,49,37,21,59,3,87,21,42,43,75,77,10,62,86,70,97,93,17,61,28,24,17,66,58
59,66,93,59,86,9,57,35,46,30,95,2,17,16,96,13,92,74,23,6,60,94,3,6,63,17,34,39,34,52,49,93,18,42
4,5,4,13,92,2,44,87,4,61,56,1,26,48,27,50,54,39,96,9,45,11,26,80,2,12,32,52,57,3,46,61,60,50
27,52,53,71,40,57,84,48,10,11,48,37,13,54,77,61,63,74,24,42,54,26,54,39,78,64,42,25,77,2,27,4,54,80
75,46,90,60,94,0,23,42,90,88,96,19,49,12,93,25,54,48,51,60,87,82,24,29,59,2,83,86,6,37,67,34,36,9
46,30,9,69,25,51,57,73,70,58,85,64,83,39,64,86,52,3,68,76,32,27,30,67,66,37,4,33,71,92,94,17,75,55
38,0,7,47,73,77,57,59,93,92,50,57,78,2,60,47,31,44,26,61,11,92,98,68,77,21,60,71,90,87,79,80,87,86
79,13,63,36,24,9,28,74,66,59,29,27,58,60,71,84,73,35,29,24,3,58,45,15,82,88,3,61,68,42,47,0,55,62
36,31,71,17,58,38,76,87,17,34,99,40,70,72,27,51,96,82,10,94,98,92,82,53,53,2,47,52,54,55,14,91,86,38
60,44,28,88,83,45,22,34,37,44,7,65,96,55,47,6,49,97,50,83,2,3,38,50,55,92,5,21,35,91,11,95,88,39
83,23,36,57,58,26,2,65,91,50,20,90,8,22,88,58,57,90,61,95,40,68,40,97,41,75,41,53,23,29,44,58,52,33
16,10,59,70,27,50,72,0,40,80,74,80,38,31,71,99,79,63,19,19,61,12,46,54,17,69,83,62,28,87,95,96,50,54
66,29,56,38,29,96,18,55,29,8,87,0,7,18,15,78,37,28,90,35,82,8,5,17,22,85,57,69,81,7,23,99,36,79
89,18,27,7,73,56,15,12,8,74,30,76,4,19,56,46,55,39,6,12,8,28,97,65,97,30,72,72,29,61,3,18,31,83
77,56,91,44,69,52,70,51,28,26,23,84,72,30,75,79,94,84,59,91,49,9,73,74,81,2,35,37,72,66,20,1,74,11
45,43,15,67,47,43,93,22,80,17,4,7,96,98,91,8,89,93,17,62,67,50,16,54,87,40,72,59,41,46,23,38,42,38
5,89,82,50,63,14,67,67,21,16,65,65,24,6,58,41,20,25,91,88,79,31,28,51,90,69,97,13,59,91,52,16,32,86
66,95,0,85,14,73,1,79,38,77,37,96,18,57,73,62,45,4,93,25,7,35,46,5,49,5,48,53,73,81,39,39,76,91
77,91,64,30,22,55,8,60,51,26,69,77,40,15,81,33,92,89,69,39,46,70,96,94,23,70,75,14,61,4,5,38,95,21
69,69,76,77,29,80,55,99,57,96,66,38,81,58,79,2,49,25,24,46,72,47,16,47,61,77,51,18,16,98,40,37,68,16
66,49,96,21,48,5,69,66,96,51,77,75,5,26,53,30,72,25,29,88,72,43,18,76,61,86,26,1,23,94,70,89,96,18
62,96,24,32,63,20,35,40,47,92,18,0,22,43,25,4,83,50,47,1,78,8,87,4,62,62,51,32,51,47,2,66,43,26
50,58,98,37,50,98,29,69,98,4,12,76,8,47,78,55,49,8,63,36,64,77,51,15,9,54,14,12,20,10,90,70,68,41
7,71,39,89,40,89,93,4,17,53,51,47,8,52,55,23,41,72,1,92,39,62,46,54,26,19,16,69,89,84,10,49,55,1
90,47,42,83,3,12,88,7,11,96,11,19,71,52,91,24,96,30,87,43,36,65,62,52,34,3,89,96,4,96,97,94,96,92
29,99,56,17,58,67,65,22,86,37,74,77,61,71,8,0,66,96,66,80,49,0,35,38,97,40,34,46,86,30,90,16,82,46
85,92,14,51,14,52,40,41,30,53,64,90,54,30,86,72,62,87,72,97,25,21,89,60,20,76,42,10,92,24,9,29,69,75
80,83,27,20,24,9,74,88,99,80,70,38,52,32,25,76,82,51,98,71,63,70,47,57,32,91,34,41,21,3,16,53,38,96
26,63,5,52,3,57,32,26,95,36,58,20,12,92,23,62,64,38,32,63,48,65,7,82,58,28,37,27,33,75,23,59,90,28
11,46,85,95,72,32,31,82,5,96,75,28,58,39,19,43,54,67,60,61,1,70,41,38,97,75,13,20,86,56,1,98,2,38
45,74,23,29,56,28,25,31,8,35,22,79,30,77,46,90,90,47,13,32,37,10,7,51,83,93,7,36,43,9,26,89,35,49
18,91,77,95,23,38,30,97,17,13,74,16,55,65,15,68,49,53,79,56,56,14,1,15,50,97,76,76,38,11,26,8,2,55
3,77,93,85,75,11,98,1,27,6,18,42,74,67,47,53,23,3,67,77,18,69,26,94,46,64,5,24,72,60,79,27,37,25
0,0
33,33
end

